#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
##############################################################################################################
##                                                Essentials                                                ##
##############################################################################################################
## -------------------------------------------- Package managers -------------------------------------------##
M,yay-bin,"Yet Another Yogurt - An AUR Helper Written in Go"
,rustup,"The Rust toolchain installer (needed to install cargo packages)"

## -------------------------------------------------- X11 ------------------------------------------------- ##
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
#,lightdm,"is a lightweight display manager."
#,lightdm-gtk-greeter,"is a GTK+ greeter for LightDM."
,xcompmgr,"is for transparency and removing screen-tearing."
,j4-dmenu-desktop,"finds .desktop files and starts them using dmenu."
G,https://github.com/ToppDev/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/ToppDev/dwm.git,"is the window manager."
G,https://github.com/ToppDev/dwmblocks.git,"serves as the modular status bar."
,feh,"is used to set the background image"
,xdotool,"provides window action utilities on the command line."
,xclip,"allows for copying and pasting from the command line."
,xfce4-power-manager,"is the power manager for the Xfce desktop"
,xfce4-settings,"is the settings manager of the Xfce desktop"
,xfce4-appfinder,"is an application finder for Xfce"
,xfce4-notifyd,"is the notification daemon for the Xfce desktop"
,xorg-apps,"is an app group which provides utility tools to work with X."
,numlockx,"turns on the numlock key in X11."

## ------------------------------------------------ Wayland ----------------------------------------------- ##
,arc-gtk-theme,"is a flat theme with transparent elements for GTK 3, GTK 2 and Gnome-Shell"
A,sardi-icons,"is an icon collection for any linux distro with 6 different circular icons and 10 different kind of folders."
A,xcursor-breeze,"is the Breeze cursor theme (KDE Plasma 5)."
,gdm,"Display manager and login screen (running in Wayland)"
A,gdm-tools,"A settings app for Gnome's Login Manager, GDM"
A,hyprland,"A dynamic tiling Wayland compositor based on wlroots that doesn't sacrifice on its looks."
A,xdg-desktop-portal-hyprland-git,"xdg-desktop-portal backend for hyprland"
,socat,"Multipurpose relay"
,xorg-xwayland,"run X clients under wayland"
,qt5-wayland,"Provides APIs for Wayland"
,qt6-wayland,"Provides APIs for Wayland"

,linux-headers,"Headers and scripts for building modules for the Linux kernel"
,linux-lts-headers,"Headers and scripts for building modules for the LTS Linux kernel"
,dunst,"Customizable and lightweight notification-daemon"
,gnome-keyring,"serves as the system keyring."
,pipewire,"Session / policy manager implementation for PipeWire"
,wireplumber,"Session / policy manager implementation for PipeWire"
,lib32-pipewire,"Low-latency audio/video router and processor - 32-bit client library"
,pipewire-alsa,"Low-latency audio/video router and processor - ALSA configuration"
,pipewire-pulse,"Low-latency audio/video router and processor - PulseAudio replacement"

,wofi,"launcher for wlroots-based wayland compositors"
,eww-wayland,"A standalone widget system for wayland made in Rust."
A,nwg-look-bin,"GTK3 settings editor adapted to work in the sway/wlroots environment (binary package)"

#,alacritty,"A cross-platform, GPU-accelerated terminal emulator"
,libxft,"enables color emoji in suckless software."
G,https://github.com/ToppDev/st,"is a simple terminal emulator."

,zsh,"is a very advanced and programmable command interpreter (shell) for UNIX."
,zsh-autosuggestions,"provides Fish-like autosuggestions for zsh."
,zsh-completions,"adds additional completion definitions for Zsh."
A,zsh-theme-powerlevel10k-git,"is a theme for Zsh."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
##############################################################################################################
##                                                   Fonts                                                  ##
##############################################################################################################
,awesome-terminal-fonts,"fonts/icons for powerlines"
,ttf-joypixels,"Emoji as a Service (formerly EmojiOne)"
,ttf-liberation,"Font family which aims at metric compatibility with Arial, Times New Roman, and Courier New"
,ttf-firacode-nerd,"Patched font Fira (Fura) Code from nerd fonts library"
,ttf-inconsolata-nerd,"Patched font Inconsolata from nerd fonts library"
,ttf-noto-nerd,"Patched font Noto from nerd fonts library"
##############################################################################################################
##                                                Accessories                                               ##
##############################################################################################################
,flameshot,"is a powerful yet simple to use screenshot software"
,gnuplot,"is a plotting package which outputs to X11, PostScript, PNG, GIF, and others"
,highlight,"can highlight code output."
,keepassxc,"is a cross-platform community-driven port of Keepass password manager"
A,mintstick,"is a GUI to write .img or .iso files to a USB Key. It can also format them"
,peek,"is a simple screen recorder with an easy to use interface"
A,python-pyparted,"is a Python module for GNU parted (needed by mintstick)"
,variety,"changes the wallpaper on a regular interval using user-specified or automatically downloaded images."
##############################################################################################################
##                                                Development                                               ##
##############################################################################################################
,ccache,"is a compiler cache that speeds up recompilation by caching previous compilations"
,cmake,"is a cross-platform open-source make system"
A,cmake-format,"is a source code formatter for CMake listfiles"
,code,"is the Open Source build of Visual Studio Code (vscode) editor."
A,conan,"is a distributed, open source, C/C++ package manager."
,cppcheck,"is a tool for static C/C++ code analysis"
,doxygen,"is a documentation system for C++, C, Java, IDL and PHP"
,gcc,"is the GNU Compiler Collection - C and C++ frontends"
,gcovr,"provides a utility for managing the use of the GNU gcov utility"
,gdb,"is the GNU Debugger"
,git,"is the fast distributed version control system"
,glfw-x11,"is a free, open source, portable framework for graphical application development (x11)"
,gperftools,"is a fast, multi-threaded malloc and nifty performance analysis tools"
,graphviz,"is a graph visualization software"
,gv,"is a program to view PostScript and PDF documents"
#,jdk-openjdk,"is the OpenJDK Java 11 development kit"
,kcachegrind,"visualizes Performance Profiling Data"
,lldb,"is the next generation, high-performance debugger"
,llvm,"Collection of modular and reusable compiler and toolchain technologies"
,make,"provides GNU make utility to maintain groups of programs"
,meld,"compares files, directories and working copies"
,neovim,"a tidier vim with some useful features."
,perl-xml-twig,"is a module for easy processing of XML"
,pdf2svg,"is a pdf to svg converter"
,texlive-most,"is a group, that contains most TeX Live packages."
,tmux,"is a terminal multiplexer"
,valgrind,"is a tool to help find memory-management problems in programs"
##############################################################################################################
##                                                 Education                                                ##
##############################################################################################################
,octave,"is a high-level language, primarily intended for numerical computations."
##############################################################################################################
##                                                   Games                                                  ##
##############################################################################################################
#,lutris,"is the Open Gaming Platform"
#,battle.net,"is the Battle.net launcher from Blizzard"
#,leagueoflegends,"is League of Legends from Riot"
,steam,"is Valve's digital software delivery system"
A,protontricks,"is a simple wrapper that does winetricks things for Proton enabled games."
##############################################################################################################
##                                                 Graphics                                                 ##
##############################################################################################################
,blender,"is a fully integrated 3D graphics creation suite"
#,gimp,"is the GNU Image Manipulation Program"
,inkscape,"is a professional vector graphics editor"
,nomacs,"is a Qt image viewer"
##############################################################################################################
##                                                 Internet                                                 ##
##############################################################################################################
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,firefox,"is a standalone web browser from mozilla.org"
A,google-chrome,"is the popular and trusted web browser by Google (Stable Channel)"
A,jdownloader2,"is a download manager for one-click hosting sites"
,remmina,"is a remote desktop client written in GTK+"
,freerdp,"is a free implementation of the Remote Desktop Protocol (RDP)"
,teamspeak3,"is software for quality voice communication via the Internet"
##############################################################################################################
##                                                Multimedia                                                ##
##############################################################################################################
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"is a lightweight video thumbnailer that can be used by file managers"
,shotcut,"is a cross-platform Qt based Video Editor"
,simplescreenrecorder,"is a feature-rich screen recorder that supports X11 and OpenGL"
A,spotify,"is a proprietary music streaming service"
,vlc,"is a multi-platform MPEG, VCD/DVD, and DivX player"
##############################################################################################################
##                                                  Office                                                  ##
##############################################################################################################
,hunspell,"is a spell checker and morphological analyzer library and program"
,hunspell-de,"are the German hunspell dictionaries"
,hunspell-en_us,"are the US English hunspell dictionaries"
A,joplin-desktop,"is a note taking and to-do application with synchronization capabilities - Desktop"
,libreoffice-fresh,"provides six feature-rich applications for document production and data processing"
,mattermost-desktop,"is the Mattermost Desktop application"
,nextcloud-client,"is the nextcloud desktop client"
,okular,"is a document viewer"
,thunderbird,"is a standalone mail and news reader from mozilla.org"
A,zotero-bin,"is the Zotero Standalone. Is a free, easy-to-use tool to help you collect, organize, cite, and share your research sources."
##############################################################################################################
##                                                  Other                                                   ##
##############################################################################################################
##############################################################################################################
##                                                 Settings                                                 ##
##############################################################################################################
,arandr,"allows the user to customize monitor arrangements."
##############################################################################################################
##                                                  System                                                  ##
##############################################################################################################
,accountsservice,"is a D-Bus interface for user account query and manipulation"
,barrier,"is a open-source KVM software based on Synergy (GUI)"
A,betterlockscreen,"is a simple, minimal lockscreen"
,btop,"A monitor of system resources, bpytop ported to C++"
,cabextract,"is a program to extract Microsoft cabinet (.CAB) files"
,cifs-utils,"CIFS filesystem user-space tools"
,cpupower,"ia a Linux kernel tool to examine and tune power saving related features of your processor"
,cups,"is the CUPS Printing System - daemon package"
,cups-pdf,"is a PDF printer for cups"
,dosfstools,"allows your computer to access dos-like filesystems."
A,downgrade,"is a Bash script for downgrading one or more packages to a version in your cache or the A.L.A."
A,emote,"Emoji Picker for Linux written in GTK3"
,expect,"is a tool for automating interactive applications"
,file-roller,"provides a GUI to create and modify archives"
,ghostscript,"is an interpreter for the PostScript language"
,gsfonts,"is a (URW)++ base 35 font set"
,gstreamer,"is a Multimedia graph framework - core"
,gst-plugins-base,"is a Multimedia graph framework - base plugins"
,gst-plugins-good,"is a Multimedia graph framework - good plugins"
,gst-plugins-bad,"is a Multimedia graph framework - bad plugins"
,gst-plugins-ugly,"is a Multimedia graph framework - ugly plugins"
,gutenprint,"are top quality printer drivers for POSIX systems"
,gvfs,"is a Virtual filesystem implementation for GIO"
,gvfs-mtp,"mounts Android devices with the Media-Transfer-Protocol"
,hardinfo,"is a system information and benchmark tool."
,hplip,"are Drivers for HP DeskJet, OfficeJet, Photosmart, Business Inkjet and some LaserJet"
,htop,"is an interactive process viewer"
,inetutils,"is a collection of common network programs"
,imagemagick,"is an image viewing/manipulation program"
,libcups,"is the CUPS Printing System - client libraries and headers"
,libnotify,"allows desktop notifications."
,man-db,"is a utility for reading man pages."
,man-pages,"provides the Linux man pages."
,net-tools,"provides configuration tools for Linux networking"
,network-manager-applet,"is an Applet for managing network connections"
,networkmanager-openconnect,"is a NetworkManager VPN plugin for OpenConnect"
,networkmanager-openvpn,"is a NetworkManager VPN plugin for OpenVPN"
,neofetch,"is a CLI system information tool written in BASH that supports displaying images."
,nm-connection-editor,"is a NetworkManager GUI connection editor and widgets"
A,notify-send-py,"is a python script for sending desktop notifications from the shell"
,ntfs-3g,"allows accessing NTFS partitions."
,openconnect,"is an open client for Cisco AnyConnect VPN"
#,openscad,"is the programmers solid 3D CAD modeller"
,openssh,"is a premier connectivity tool for remote login with the SSH protocol"
,openvpn,"is an easy-to-use, robust and highly configurable VPN (Virtual Private Network)"
,p7zip,"is a command-line file archiver with high compression ratio"
,pamixer,"is a command-line audio interface."
,pavucontrol,"is the graphical PulseAudio Volume Control"
,playerctl,"is a mpris media player controller and lib for spotify, vlc, audacious, bmp, xmms2, and others."
,privateinternetaccess,"is a VPN provider with servers worldwide"
,sane,"is used for easy scanner access"
,simple-scan,"is a simple scanning utility"
,sharutils,"makes so-called shell archives out of many files which can be extracted by sh"
,thunar,"is a modern file manager for Xfce"
,thunar-archive-plugin,"creates and extracts archives in Thunar"
,thunar-volman,"automatically manages removeable devices in Thunar"
,thunar-media-tags-plugin,"adds special features for media files to the Thunar File Manager"
,tumbler,"is a D-Bus service for applications to request thumbnails"
,tlp,"is brings you the benefits of advanced power management for Linux without the need to understand every technical detail"
,unace,"is an extraction tool for the proprietary ace archive format"
,unclutter,"hides an inactive mouse."
,unrar,"is the RAR uncompression program"
,unzip,"for extracting and viewing files in .zip archives"
,util-linux,"Miscellaneous system utilities for Linux"
A,via-bin,"binary distribution of electron builds for https://usevia.app/"
,virtualbox,"is a powerful x86 virtualization for enterprise as well as home use"
,wine,"is a compatibility layer for running Windows programs"
,xdg-user-dirs,"manages user directories like ~/Desktop and ~/Music"
,zip,"is a compressor/archiver for creating and modifying zipfiles"
##############################################################################################################
